Transmitter_Adress;Channel;PHY_Type
00:a3:8e:8f:b3:bd;116;8
00:a3:8e:8f:b3:be;116;8
00:a3:8e:8f:b3:bf;116;8
00:a3:8e:a4:e9:9f;132;8
00:a3:8e:a4:e9:9d;132;8
00:a3:8e:a4:e9:9e;132;8
00:a3:8e:a4:e9:9f;132;8
00:a3:8e:6c:69:70;1;7
00:a3:8e:6c:69:72;1;7
00:a3:8e:6c:69:71;1;7
00:a3:8e:6c:69:70;1;7
00:a3:8e:a4:e3:52;5;7
00:a3:8e:a4:e9:92;5;7
00:a3:8e:6e:87:c0;5;7
00:a3:8e:a4:e3:51;5;7
00:a3:8e:6e:87:c2;5;7
00:a3:8e:6e:87:c1;5;7
00:a3:8e:a4:e3:50;5;7
00:a3:8e:a4:e9:90;5;7
00:a3:8e:a4:e3:52;5;7
00:a3:8e:a4:e3:31;9;7
00:a3:8e:a4:e8:00;9;7
00:a3:8e:a4:e3:30;9;7
00:a3:8e:a4:e8:02;9;7
00:a3:8e:a4:e3:32;9;7
00:a3:8e:a4:e8:01;9;7
00:a3:8e:a4:e3:31;9;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:a4:e3:5d;44;8
00:a3:8e:a4:e3:5e;44;8
00:a3:8e:a4:e3:5f;44;8
00:a3:8e:a4:e3:5d;44;8
00:a3:8e:6c:65:6f;48;8
00:a3:8e:6c:65:6d;48;8
00:a3:8e:6c:65:6e;48;8
00:a3:8e:6c:65:6f;48;8
00:a3:8e:6c:e8:df;56;8
00:a3:8e:6c:e8:dd;56;8
00:a3:8e:a4:e3:3e;60;8
00:a3:8e:a4:e3:3f;60;8
00:a3:8e:a4:e3:3d;60;8
00:a3:8e:a4:e3:3e;60;8
2c:33:11:1a:3b:5d;64;8
2c:33:11:1a:3b:5e;64;8
2c:33:11:1a:3b:5f;64;8
2c:33:11:1a:3b:5d;64;8
00:a3:8e:6c:69:7e;100;8
00:a3:8e:6c:69:7f;100;8
00:a3:8e:a4:e8:0e;104;8
00:a3:8e:a4:e8:0f;104;8
00:a3:8e:a4:e8:0d;104;8
00:a3:8e:a4:e8:0e;104;8
00:a3:8e:6c:69:ef;112;8
00:a3:8e:6c:69:ed;112;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:6c:69:ef;112;8
00:a3:8e:8f:b3:bf;116;8
00:a3:8e:8f:b3:bd;116;8
00:a3:8e:8f:b3:be;116;8
00:a3:8e:8f:b3:bf;116;8
00:a3:8e:a4:e9:9e;132;8
00:a3:8e:a4:e9:9f;132;8
00:a3:8e:6c:69:70;1;7
00:a3:8e:6c:69:72;1;7
78:54:2e:fd:e3:80;1;7
00:a3:8e:6c:69:71;1;7
78:54:2e:fd:e3:80;1;7
00:a3:8e:6c:69:70;1;7
00:a3:8e:a4:e3:52;5;7
00:a3:8e:a4:e3:51;5;7
00:a3:8e:a4:e9:90;5;7
00:a3:8e:a4:e3:52;5;7
52:f0:2f:0e:27:0c;9;7
00:a3:8e:a4:e8:00;9;7
00:a3:8e:a4:e3:30;9;7
00:a3:8e:a4:e8:01;9;7
00:a3:8e:a4:e3:31;9;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:69:e0;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:a4:e3:5e;44;8
00:a3:8e:a4:e3:5f;44;8
00:a3:8e:a4:e3:5d;44;8
00:a3:8e:a4:e3:5e;44;8
00:a3:8e:6c:65:6e;48;8
00:a3:8e:6c:65:6f;48;8
00:a3:8e:6c:65:6d;48;8
00:a3:8e:6c:e8:dd;56;8
00:a3:8e:a4:e3:3f;60;8
00:a3:8e:a4:e3:3d;60;8
00:a3:8e:a4:e3:3e;60;8
2c:33:11:1a:3b:5e;64;8
2c:33:11:1a:3b:5f;64;8
2c:33:11:1a:3b:5d;64;8
2c:33:11:1a:3b:5e;64;8
00:a3:8e:6c:69:7e;100;8
00:a3:8e:6c:69:7f;100;8
00:a3:8e:6c:69:7d;100;8
00:a3:8e:a4:e8:0f;104;8
00:a3:8e:a4:e8:0d;104;8
00:a3:8e:a4:e8:0e;104;8
00:a3:8e:6c:69:ed;112;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:6c:69:ef;112;8
00:a3:8e:6c:69:ed;112;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:6c:69:ef;112;8
00:a3:8e:6c:69:ed;112;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:8f:b3:bf;116;8
00:a3:8e:8f:b3:bd;116;8
00:a3:8e:8f:b3:be;116;8
00:a3:8e:a4:e9:9f;132;8
00:a3:8e:a4:e9:9d;132;8
00:a3:8e:a4:e9:9e;132;8
00:a3:8e:6c:69:70;1;7
00:a3:8e:6c:69:72;1;7
00:a3:8e:6c:69:71;1;7
00:a3:8e:a4:e3:50;5;7
00:a3:8e:a4:e9:90;5;7
00:a3:8e:a4:e3:52;5;7
00:a3:8e:a4:e9:92;5;7
00:a3:8e:6e:87:c0;5;7
00:a3:8e:a4:e3:51;5;7
00:a3:8e:a4:e9:91;5;7
00:a3:8e:6e:87:c2;5;7
00:a3:8e:a4:e3:50;5;7
00:a3:8e:a4:e8:02;9;7
00:a3:8e:a4:e3:32;9;7
00:a3:8e:a4:e8:01;9;7
00:a3:8e:a4:e3:31;9;7
00:a3:8e:a4:e8:00;9;7
00:a3:8e:a4:e3:30;9;7
00:a3:8e:a4:e3:32;9;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:a4:e3:5f;44;8
00:a3:8e:a4:e3:5d;44;8
00:a3:8e:a4:e3:5e;44;8
00:a3:8e:6c:65:6f;48;8
00:a3:8e:6c:65:6d;48;8
00:a3:8e:6c:65:6e;48;8
00:a3:8e:a4:e3:3d;60;8
00:a3:8e:a4:e3:3e;60;8
00:a3:8e:a4:e3:3f;60;8
00:a3:8e:6c:69:7f;100;8
00:a3:8e:6c:69:7d;100;8
00:a3:8e:6c:69:7e;100;8
00:a3:8e:a4:e8:0d;104;8
00:a3:8e:a4:e8:0e;104;8
00:a3:8e:6c:69:ef;112;8
00:a3:8e:6c:69:ed;112;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:8f:b3:bf;116;8
00:a3:8e:8f:b3:bd;116;8
00:a3:8e:8f:b3:be;116;8
00:a3:8e:a4:e9:9f;132;8
00:a3:8e:a4:e9:9d;132;8
00:a3:8e:6c:69:70;1;7
00:a3:8e:6c:69:72;1;7
00:a3:8e:6c:69:71;1;7
00:a3:8e:a4:e3:50;5;7
00:a3:8e:a4:e3:52;5;7
00:a3:8e:6e:87:c0;5;7
00:a3:8e:a4:e3:51;5;7
00:a3:8e:a4:e9:91;5;7
00:a3:8e:6e:87:c1;5;7
00:a3:8e:a4:e3:50;5;7
00:a3:8e:a4:e3:32;9;7
00:a3:8e:a4:e8:00;9;7
00:a3:8e:a4:e3:30;9;7
00:a3:8e:a4:e8:02;9;7
00:a3:8e:a4:e8:01;9;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:a4:e3:5f;44;8
00:a3:8e:a4:e3:5d;44;8
00:a3:8e:a4:e3:5e;44;8
00:a3:8e:a4:e3:5f;44;8
00:a3:8e:6c:65:6f;48;8
00:a3:8e:6c:65:6d;48;8
00:a3:8e:6c:65:6e;48;8
00:a3:8e:6c:65:6f;48;8
00:a3:8e:a4:e3:3d;60;8
00:a3:8e:a4:e3:3f;60;8
00:a3:8e:a4:e3:3d;60;8
2c:33:11:1a:3b:5f;64;8
00:a3:8e:6c:69:7f;100;8
00:a3:8e:6c:69:7e;100;8
00:a3:8e:a4:e8:0e;104;8
00:a3:8e:a4:e8:0f;104;8
00:a3:8e:a4:e8:0d;104;8
00:a3:8e:6c:69:ef;112;8
00:a3:8e:6c:69:ed;112;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:8f:b3:bf;116;8
00:a3:8e:8f:b3:bd;116;8
00:a3:8e:8f:b3:be;116;8
00:a3:8e:a4:e9:9e;132;8
00:a3:8e:a4:e9:9f;132;8
00:a3:8e:6c:69:70;1;7
00:a3:8e:6c:69:72;1;7
00:a3:8e:6c:69:71;1;7
00:a3:8e:6c:69:70;1;7
00:a3:8e:a4:e9:90;5;7
00:a3:8e:a4:e3:52;5;7
00:a3:8e:a4:e3:51;5;7
00:a3:8e:a4:e9:91;5;7
00:a3:8e:a4:e3:50;5;7
00:a3:8e:a4:e9:90;5;7
00:a3:8e:a4:e3:31;9;7
00:a3:8e:a4:e8:00;9;7
00:a3:8e:a4:e3:30;9;7
00:a3:8e:a4:e8:02;9;7
00:a3:8e:a4:e3:32;9;7
00:a3:8e:a4:e8:01;9;7
00:a3:8e:a4:e3:31;9;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:a4:e3:5d;44;8
00:a3:8e:a4:e3:5e;44;8
00:a3:8e:a4:e3:5f;44;8
00:a3:8e:a4:e3:5d;44;8
00:a3:8e:6c:65:6d;48;8
00:a3:8e:6c:65:6e;48;8
00:a3:8e:6c:65:6f;48;8
00:a3:8e:6c:65:6d;48;8
00:a3:8e:a4:e3:3e;60;8
00:a3:8e:a4:e3:3f;60;8
00:a3:8e:a4:e3:3d;60;8
00:a3:8e:a4:e3:3e;60;8
2c:33:11:1a:3b:5e;64;8
2c:33:11:1a:3b:5f;64;8
00:a3:8e:6c:69:7d;100;8
00:a3:8e:6c:69:7e;100;8
00:a3:8e:a4:e8:0e;104;8
00:a3:8e:a4:e8:0f;104;8
00:a3:8e:a4:e8:0d;104;8
00:a3:8e:a4:e8:0e;104;8
00:a3:8e:6c:69:ef;112;8
00:a3:8e:6c:69:ed;112;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:6c:69:ef;112;8
00:a3:8e:8f:b3:bf;116;8
00:a3:8e:8f:b3:bd;116;8
00:a3:8e:8f:b3:be;116;8
00:a3:8e:8f:b3:bf;116;8
00:a3:8e:6c:69:70;1;7
00:a3:8e:6c:69:72;1;7
00:a3:8e:6c:69:70;1;7
00:a3:8e:a4:e3:50;5;7
00:a3:8e:a4:e9:90;5;7
00:a3:8e:a4:e3:52;5;7
00:a3:8e:a4:e9:92;5;7
00:a3:8e:a4:e8:00;9;7
00:a3:8e:a4:e3:30;9;7
00:a3:8e:a4:e8:02;9;7
00:a3:8e:a4:e3:32;9;7
00:a3:8e:a4:e8:01;9;7
00:a3:8e:a4:e3:31;9;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:a4:e3:5e;44;8
00:a3:8e:a4:e3:5f;44;8
00:a3:8e:a4:e3:5d;44;8
00:a3:8e:a4:e3:5e;44;8
00:a3:8e:6c:65:6d;48;8
00:a3:8e:6c:65:6e;48;8
00:a3:8e:6c:65:6f;48;8
00:a3:8e:6c:65:6d;48;8
2c:33:11:1a:3b:5e;64;8
2c:33:11:1a:3b:5f;64;8
2c:33:11:1a:3b:5d;64;8
2c:33:11:1a:3b:5e;64;8
00:a3:8e:6c:69:7d;100;8
00:a3:8e:6c:69:7e;100;8
00:a3:8e:6c:69:7f;100;8
00:a3:8e:6c:69:7d;100;8
00:a3:8e:a4:e8:0f;104;8
00:a3:8e:a4:e8:0d;104;8
00:a3:8e:a4:e8:0e;104;8
00:a3:8e:6c:69:ed;112;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:6c:69:ef;112;8
00:a3:8e:6c:69:ed;112;8
00:a3:8e:8f:b3:bd;116;8
00:a3:8e:8f:b3:be;116;8
00:a3:8e:8f:b3:bf;116;8
00:a3:8e:8f:b3:bd;116;8
00:a3:8e:a4:e9:9f;132;8
00:a3:8e:a4:e9:9d;132;8
00:a3:8e:6c:69:72;1;7
78:54:2e:fd:e3:80;1;7
00:a3:8e:6c:69:71;1;7
78:54:2e:fd:e3:80;1;7
00:a3:8e:6c:69:70;1;7
00:a3:8e:6c:69:72;1;7
00:a3:8e:a4:e3:51;5;7
00:a3:8e:a4:e9:91;5;7
00:a3:8e:6e:87:c2;5;7
00:a3:8e:a4:e3:50;5;7
00:a3:8e:a4:e9:90;5;7
00:a3:8e:a4:e3:52;5;7
00:a3:8e:a4:e9:92;5;7
00:a3:8e:6e:87:c0;5;7
00:a3:8e:a4:e9:91;5;7
00:a3:8e:6e:87:c2;5;7
00:a3:8e:a4:e8:00;9;7
00:a3:8e:a4:e3:30;9;7
00:a3:8e:a4:e8:02;9;7
00:a3:8e:a4:e3:32;9;7
00:a3:8e:a4:e8:01;9;7
00:a3:8e:a4:e3:31;9;7
00:a3:8e:a4:e8:00;9;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:a4:e3:5f;44;8
00:a3:8e:a4:e3:5d;44;8
00:a3:8e:a4:e3:5e;44;8
00:a3:8e:6c:65:6e;48;8
00:a3:8e:6c:65:6f;48;8
00:a3:8e:6c:65:6d;48;8
00:a3:8e:6c:65:6e;48;8
00:a3:8e:a4:e3:3f;60;8
00:a3:8e:a4:e3:3d;60;8
00:a3:8e:a4:e3:3e;60;8
2c:33:11:1a:3b:5f;64;8
2c:33:11:1a:3b:5d;64;8
00:a3:8e:6c:69:7f;100;8
00:a3:8e:6c:69:7e;100;8
00:a3:8e:a4:e8:0f;104;8
00:a3:8e:a4:e8:0d;104;8
00:a3:8e:a4:e8:0e;104;8
00:a3:8e:a4:e8:0f;104;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:6c:69:ef;112;8
00:a3:8e:6c:69:ed;112;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:8f:b3:be;116;8
00:a3:8e:8f:b3:bf;116;8
00:a3:8e:8f:b3:bd;116;8
00:a3:8e:8f:b3:be;116;8
00:a3:8e:a4:e9:9e;132;8
00:a3:8e:6c:69:71;1;7
00:a3:8e:6c:69:70;1;7
78:54:2e:fd:e3:80;1;7
00:a3:8e:6c:69:72;1;7
00:a3:8e:6c:69:71;1;7
78:54:2e:fd:e3:80;1;7
00:a3:8e:6e:87:c1;5;7
00:a3:8e:a4:e3:50;5;7
00:a3:8e:a4:e9:90;5;7
00:a3:8e:a4:e9:92;5;7
00:a3:8e:6e:87:c0;5;7
00:a3:8e:a4:e3:51;5;7
00:a3:8e:a4:e9:91;5;7
00:a3:8e:a4:e3:30;9;7
00:a3:8e:a4:e8:02;9;7
00:a3:8e:a4:e3:31;9;7
00:a3:8e:a4:e8:00;9;7
00:a3:8e:a4:e3:30;9;7
00:a3:8e:a4:e8:02;9;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:6c:6c:71;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:6c:70;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:a4:e3:5f;44;8
00:a3:8e:a4:e3:5d;44;8
00:a3:8e:a4:e3:5e;44;8
00:a3:8e:6c:65:6f;48;8
00:a3:8e:6c:65:6d;48;8
00:a3:8e:6c:65:6e;48;8
00:a3:8e:a4:e3:3f;60;8
00:a3:8e:a4:e3:3d;60;8
00:a3:8e:a4:e3:3e;60;8
00:a3:8e:a4:e3:3f;60;8
2c:33:11:1a:3b:5f;64;8
2c:33:11:1a:3b:5d;64;8
2c:33:11:1a:3b:5e;64;8
00:a3:8e:6c:69:7d;100;8
00:a3:8e:6c:69:7e;100;8
00:a3:8e:a4:e8:0f;104;8
00:a3:8e:a4:e8:0d;104;8
00:a3:8e:a4:e8:0e;104;8
00:a3:8e:a4:e8:0f;104;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:6c:69:ef;112;8
00:a3:8e:6c:69:ed;112;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:8f:b3:bf;116;8
00:a3:8e:8f:b3:bd;116;8
00:a3:8e:8f:b3:be;116;8
00:a3:8e:a4:e9:9f;132;8
00:a3:8e:a4:e9:9d;132;8
00:a3:8e:a4:e9:9e;132;8
78:54:2e:fd:e3:80;1;7
00:a3:8e:6c:69:70;1;7
78:54:2e:fd:e3:80;1;7
00:a3:8e:6c:69:72;1;7
00:a3:8e:6c:69:71;1;7
00:a3:8e:6e:87:c1;5;7
00:a3:8e:a4:e3:50;5;7
00:a3:8e:a4:e9:90;5;7
00:a3:8e:a4:e3:52;5;7
00:a3:8e:a4:e9:92;5;7
00:a3:8e:6e:87:c0;5;7
00:a3:8e:a4:e3:51;5;7
00:a3:8e:a4:e9:91;5;7
00:a3:8e:a4:e8:02;9;7
00:a3:8e:a4:e8:01;9;7
00:a3:8e:a4:e8:00;9;7
00:a3:8e:a4:e3:30;9;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:6c:65:62;13;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:6c:65:60;13;7
00:a3:8e:8f:b3:b2;13;7
00:a3:8e:8f:b3:b1;13;7
00:a3:8e:6c:65:61;13;7
00:a3:8e:8f:b3:b0;13;7
00:a3:8e:a4:e3:5f;44;8
00:a3:8e:a4:e3:5d;44;8
00:a3:8e:a4:e3:5e;44;8
00:a3:8e:6c:65:6f;48;8
00:a3:8e:6c:65:6d;48;8
00:a3:8e:6c:65:6e;48;8
00:a3:8e:a4:e3:3f;60;8
00:a3:8e:a4:e3:3d;60;8
00:a3:8e:a4:e3:3e;60;8
2c:33:11:1a:3b:5f;64;8
2c:33:11:1a:3b:5d;64;8
2c:33:11:1a:3b:5e;64;8
00:a3:8e:6c:69:7f;100;8
00:a3:8e:6c:69:7d;100;8
00:a3:8e:6c:69:7e;100;8
00:a3:8e:a4:e8:0f;104;8
00:a3:8e:a4:e8:0d;104;8
00:a3:8e:a4:e8:0e;104;8
00:a3:8e:a4:e8:0f;104;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:6c:69:ef;112;8
00:a3:8e:6c:69:ed;112;8
00:a3:8e:6c:69:ee;112;8
00:a3:8e:8f:b3:bf;116;8
00:a3:8e:8f:b3:bd;116;8
00:a3:8e:8f:b3:be;116;8
00:a3:8e:a4:e9:9d;132;8
00:a3:8e:a4:e9:9e;132;8
00:a3:8e:6c:69:70;1;7
00:a3:8e:6c:69:71;1;7
00:a3:8e:6e:87:c1;5;7
00:a3:8e:a4:e3:50;5;7
00:a3:8e:a4:e9:90;5;7
